,sentence
221,"Алексей Текслер раскритиковал администрацию Усть-Катава за срыв сроков реконструкции школы
Работы в общеобразовательной школе №4 обещали завершить в июле, но по факту реконструкция входной группы и строительство пристройки до сих пор не завершены, хотя до начала учебного года осталось меньше месяца."
70,Однако сроки сдачи отдельных участков дороги неоднократно переносились.
194,"Компания ООО «АртСтройТехно» не завершила строительство и не ввела в эксплуатацию многоквартирные жилые комплексы в г. Ставрополе по трем адресам: ул. Тюльпановая, 10, ул. Тюльпановая, 12 и ул. Города-побратима Безье, 15а."
49,"Даже такие крупные компании, как СУ-155, допускают задержки в сдаче здания в эксплуатацию, что уж говорить о более мелких."
64,"При этом дольщики «Нормана» столкнулись с серьезными задержками ввода в эксплуатацию жилых объектов, а в конце 2018 года власти Петербурга признали строительную компанию проблемной."
211,Запуск двух заводов по производству метанола в Ленинградской области отложен на год.
52,"Глава Министерства образования и науки Челябинской области Александр Кузнецов пояснил, что основная вина за неподготовку школы к 1 сентября лежит на подрядчике строительства."
73,Детская поликлиника в Орджоникидзевском районе не будет достроена в срок.
310,"Таким образом, строительство было отложено на неопределенный срок."
252,Застройщик «Лидер Групп» в очередной раз перенес сроки сдачи нового комплекса «Небо Москвы» на первый квартал 2016 года.
201,Вопрос о сроках завершения строительства многоэтажного дома пока остается нерешенным.
59,"Согласно материалам дела, просрочка относительно сроков, указанных в договоре долевого строительства, составила 85 дней — дом «Западный-2» должен был быть сдан до начала 2016 года, а квартиры — в апреле текущего года."
218,"Стоит отметить, что в прошлом году более 45% новостроек в столице не были достроены в срок."
328,"Сроки завершения проекта переносились несколько раз, а строительство сопровождалось крупными коррупционными скандалами и уголовными делами."
229,Вместо конца 2017 года новым сроком передачи квартир является 31 марта 2018 года.
40,"Нам обещали, что ввод в эксплуатацию состоится в декабре 2004 года и что тогда же мы получим временный заказ."
133,"Появившаяся в СМИ информация о ""переносе срока ввода аэропорта Хабаровска с 2019 на 2020 год"" касается исключительно реконструкции части аэродромной инфраструктуры аэропорта Хабаровска, сообщили ИА ""АмурМедиа"" в ООО ""Управляющая компания ""КОМАКС""."
259,"Таким образом, суд постановил взыскать почти 500 тысяч рублей штрафных санкций за нарушение сроков передачи имущества одному из участников долевого строительства."
286,"С другой стороны, если признать, что Низовский сейчас прав, то ввод в эксплуатацию даже при самых благоприятных обстоятельствах займет около двух лет."
77,"Ранее участники долевого строительства, обеспокоенные задержкой сдачи домов, пришли на личную встречу к губернатору Орловской области Андрею Клычкову и обратились на «Прямую линию с Владимиром Путиным»."
294,"Александр Гончаров отметил, что в 2018 году по результатам проверки деятельности застройщика ЗАО «ДЕСНА ЛЭНД» специалистами Комитета было выдано предписание об устранении нарушений требований Федерального закона о долевом строительстве № 214-ФЗ, а именно необходимости направления уведомлений участникам долевого строительства о невозможности завершения строительства в ранее установленные сроки."
101,В столице задерживаются сроки ввода в эксплуатацию офисной недвижимости.
75,"Дольщики жалуются на срыв сроков строительства дома по адресу Павловский тракт, 291 в Барнауле (жилой комплекс «Олимпийский»)."
282,"«У меня задержка сдачи квартиры в Green Alleys уже 9 месяцев», — цитирует популярного Telegram-канала Boiler Room одного из покупателей жилья в Green Alleys."
67,"Предложить застройщику добровольно, во внесудебном порядке погасить задолженность за просрочку ввода здания в эксплуатацию."
124,"«Васильково» был введен в эксплуатацию еще в июне 2015 года, с опозданием на целых пять лет."
264,"Если говорить о причинах задержки, то это долгое оформление документов, по линии капитального строительства, рабочие не успели сдать объект из-за погодных условий, другие проблемы», — прокомментировал Александр Кузнецов."
189,"Несмотря на перенос сроков запуска Тайшетского алюминиевого завода из-за ситуации на мировых рынках, в 2012 году на строительной площадке продолжались работы по ранее заключенным договорам на приемку технологического оборудования, большая часть которого уже поставлена, говорится в сообщении."
167,"Однако работы были заморожены, а переезд в новые квартиры отложен."
241,"Однако из-за срыва сроков изготовления и сборки паротурбинной установки (ПТУ) на предприятии «Киров-Энергомаш» (КЭМ, структура Кировского завода) Балтзавод не может приступить к полноценному выполнению работ."
276,Правительство автономного округа проиграло иск к компании «ВИС-Инфраструктура» за несоблюдение сроков строительства перинатального центра в Сургуте.
284,"В прошлом году многие застройщики столкнулись с тем, что ряд требований по вводу объектов в эксплуатацию невозможно выполнить в определенный период времени, например, летом или зимой."
248,"Гендиректор компании «Гарант-Девелопмент» Дмитрий Альхов считает, что полугодовая задержка строительства не является критической, однако запрет на заключение новых контрактов только ухудшит и без того сложную ситуацию для застройщиков — бизнес попытается всеми правдами и неправдами пойти на процедуру банкротства."
302,Причин задержки строительства может быть несколько.
223,"В компании «ВсевИнвестСтрой» подтвердили существенную задержку ввода объекта в эксплуатацию, назвав ее двухлетней."
307,Челнинскому «Цезарю» помешал ветер: акционеры «Профита» объяснили недостройку «цепочкой форс-мажорных обстоятельств»
110,Нарушены сроки ввода в эксплуатацию десяти перинатальных центров.
20,"В судебном документе со ссылкой на «Республиканскую службу единого заказчика» поясняется, что срок завершения работ по контракту — 1 октября 2016 года, «однако до настоящего времени работы в полном объеме не выполнены, ввод объекта в эксплуатацию не обеспечен»."
240,"«Задержка графика строительства ЖК «Любимов» не отразится на качестве», — Максим Решетников
16 ноября 2018 г.

Любимов
Жилой Комплекс «Любимов»
Фото: Константин Долгановский
Нынешняя задержка графика строительства двух корпусов первой очереди жилого комплекса «Любимов» в Березниках не отразится на качестве работ, заявил губернатор Пермского края Максим Решетников."
84,"Директор по развитию группы добавил, что задержка строительства произошла по двум причинам: «В начале 2018 года темпы строительства замедлились в связи с общим спадом на рынке, что привело к небольшой задержке ввода объектов в эксплуатацию, а осенью того же года в соответствии с изменениями, внесенными в 214-ФЗ, была прекращена регистрация новых договоров долевого участия в строящихся зданиях, что привело к дефициту финансирования»."
325,"Арбитражный суд Москвы взыскал с компании «Интеко», сдавшей квартиру с опозданием, 1,5 млн рублей, следует из судебных документов."
257,"Это не первый случай, когда Ассоциация «Совет рынка» штрафует энергокомпанию за задержки ввода мощностей — в июне «РусГидро» уже штрафовали за срыв сроков
Цхинвал, 27 августа — Sputnik."
203,"Акционеры объектов компании, совет директоров которой возглавляет Андрей Рябинский, также известный как руководитель крупнейшей рекламной компании РФ ""Мир Бокса"", уже больше года жалуются на постоянные задержки сроков строительства."
117,"В результате сроки были сорваны, что привело к необходимости переноса сроков ввода объекта в эксплуатацию."
36,"Здание обещали сдать в начале 2016 года, однако уже через год объект в числе проблемных попал под пристальное наблюдение стройблока Смольного, и комплекс был введен в эксплуатацию только в августе 2018 года."
247,"Да, у нас все еще есть проблемные объекты, где застройщики задержали передачу квартир дольщикам до конца 2017 года."
183,"Однако его банкротство повлекло невозможность исполнения обязательств перед участниками строительства в сроки, установленные договорами долевого участия (май 2018 г.), и срок передачи объектов долевого строительства впервые был перенесен на ноябрь 2018 г., определен новый подрядчик — ООО «Сибресурс», говорится на сайте Инспекции по строительному и жилищному надзору Алтайского края (Госинспекция)."
166,До сих пор ни одно из зданий официально не сдано в эксплуатацию.
29,"INTERFAX.RU - ООО ""Технопромэкспорт"" обратилось к Минэнерго России с просьбой отложить ввод двух электростанций в Крыму до марта 2019 года."
118,"Это не первый случай, когда Ассоциация «Совет рынка» штрафует энергокомпанию за задержки ввода мощностей — в июне за просрочку уже штрафовали «РусГидро»."
275,"Проектные работы завершились 7 сентября 2018 года, на четыре года позже установленного срока."
204,"По данным Единого реестра застройщиков, 30,5% жилья, запланированного к вводу в эксплуатацию в 2019–2023 годах, уже достраивается, при этом первоначальные сроки ввода в эксплуатацию переносятся."
316,"В Набережных Челнах переносятся сроки сдачи жилого комплекса «Цезарь», который возводит компания известного спасителя дольщиков, депутата Госсовета РТ Марселя Мингалимова «Камаинвестстрой» — дочернее предприятие ГК «Профит»."
190,"Конечно, объект должен быть сдан в сентябре, с опозданием."
105,Киевские и пригородные застройщики стали чаще срывать сроки сдачи домов в эксплуатацию.
320,"Тем временем она готовит новый иск, поскольку дом еще не сдан и у дольщиков есть полное право снова получить неустойку за оставшиеся сроки."
230,"Весной сообщалось, что Казань не сможет завершить работы из-за финансовых проблем и других обстоятельств."
180,"Уважаемые акционеры, прежде всего, мы хотели бы принести вам извинения за задержку сдачи здания."
132,Однако срок поставки был задержан почти на 700 дней.
300,"Как пояснили в компании-застройщике, причиной отсрочки ввода многоквартирных жилых домов действительно является образование земельных участков под каждым домом."
255,"Как и ожидалось, сроки сдачи перенесены, причем на целый год: даже при благоприятных условиях квартиры будут готовы не раньше декабря 2016 года."
150,"Согласно контракту, дом обещали сдать к маю 2018 года, а затем к ноябрю того же года."
50,Дольщики второй очереди жилого комплекса «Архимед» в Сергиевом Посаде пожаловались altgazeta.ru на задержку ввода их здания в эксплуатацию.
30,"Департамент здравоохранения обратился в суд с иском к застройщику о взыскании неустойки в размере 218,5 млн рублей за просрочку ввода в эксплуатацию объекта, строительство которого обошлось более чем в 10 млрд рублей."
112,"ООО «ДонБиоТех» объявило об очередном переносе сроков завершения строительства завода по глубокой переработке зерна в Волгодонске, на этот раз на 2017 год."
202,"«Срыв сроков ввода в эксплуатацию указанной ГРЭС во многом обусловлен нарушениями и недостатками, допущенными при проведении опытно-промышленной эксплуатации оборудования в октябре 2018 года, что привело к существенному повреждению парового котла и потребовало его ремонта», — отметил директор департамента Счетной палаты Олег Чернявский, слова которого приводятся в отчете Счетной палаты."
12,"Например, строительство системы Crossrail в Лондоне началось в 2009 году с планом открытия в 2018 году, но сегодня открытие отложено до 2021 года."
219,"Сергей Половников отметил, что в ходе проверки действительно было выявлено отставание строительства двух домов первой очереди жилого комплекса «Любимов» от утвержденного графика."
153,"Компания VIS Infrastructure LLC должна была завершить проект еще два года назад, но сроки несколько раз переносились по разным причинам."
37,"В Едином реестре застройщиков указано, что сдает объекты с задержкой по срокам сдачи до 1,5 лет."
31,"Первоначально ввод объектов в эксплуатацию планировался на 2018 год, однако сроки неоднократно переносились: сначала на 2019, а затем на 2020 год."
254,"С другой стороны, даже надежный застройщик может опоздать со сдачей объекта на полгода: по вине монополистов, из-за бесполезных, но отнимающих много времени судебных разбирательств."
68,"Как пишет «Коммерсант», сроки реализации проектов ООО «НГСК» и ООО «Балтийская газохимическая компания» (БГХК) в районе порта Усть-Луга переносятся с 2018 на 2019 год."
147,Ввод в эксплуатацию первой очереди отложен до осени.
55,Однако срок поставки был задержан почти на 700 дней.
315,Во второй раз перенесены сроки завершения самого амбициозного и дорогостоящего проекта Марселя Мингалимова — 25-этажного здания в форме книги под названием «Цезарь».
123,"В ООО «Гранид», которое неоднократно переносило сроки окончания строительства по адресу: Молодежная, 111, в настоящее время работы застопорились из-за отсутствия взаимопонимания с Водоканалом по размеру платы за подключение к сетям, несмотря на то, что срок окончания строительства — середина ноября."
163,В Петербурге девелоперы задержали сдачу 38 проектов более чем на полгода и получили запрет на привлечение новых «долевых» средств.
45,"«Действительно, мы просили перенести дату ввода в эксплуатацию на март 2019 года."
106,"Соответственно, сроки сдачи, например, в ЖК «Европейский квартал» переносились не раз."
138,"Сроки ввода в эксплуатацию перинатального центра в Сургуте, строительство которого обойдется бюджету Ханты-Мансийского автономного округа более чем в 18 млрд рублей, снова перенесены."
228,"За ней следует ГК «Стройинвест ИСГ», которая отстает от первоначальных планов на 23 месяца."
304,"Правительство полностью простило «Технопромэкспорту» (ТПЭ, подконтролен «Ростеху») штрафы за срыв сроков ввода крупной генерации в Крыму."
237,"В Нижегородской области снова пропущен срок ввода в эксплуатацию крупной школы
Новая средняя школа на 900 мест, которая строится в поселке Гидроторф, вероятно, не будет готова к 1 сентября."
128,"Так, из-за нарушения со стороны ресурсоснабжающей организации была задержана сдача в эксплуатацию жилого дома ООО «Горизонт»."
232,"По данным иска, самарская компания «Больверк» отстала от графика строительства на 40 дней."
87,"Бизнесмен Сухов пообещал акционерам, что долгострой на Большевистской улице будет завершен до начала зимы."
8,"Изначально дорогу планировалось ввести в эксплуатацию в 2018 году к чемпионату мира по футболу FIFA, который проходил в России, однако строители не успели предоставить отчетные документы по части работ, а также столкнулись с археологическими находками на территории Ленинградской области, из-за чего строительство задержалось еще на несколько месяцев."
174,Задержка ввода детского сада в эксплуатацию возникла из-за превышения допустимого уровня шума в прогулочных зонах: рядом со зданием проходит Западный скоростной диаметр.
89,"Примером может служить сдача дома «Апельсин» застройщиком «СМУ КПД», где три здания, сроки сдачи которых истекли 21.12.2015, не сданы в эксплуатацию, как указано в письме."
155,"Дольщики жилого комплекса «Березки», расположенного в Пешковском поселении, также обеспокоены серьезной задержкой ввода в эксплуатацию жилых домов в поселке Жуково."
299,"В ходе заседания рабочей группы директор по строительству ЗАО «ДЕСНА ЛЕНД» пояснил, что задержка сроков связана с работой генерального подрядчика по устройству внешних фасадов зданий."
303,Ростеху простили за срыв ввода ТЭЦ в Крыму
135,В настоящее время сроки сдачи более 100 зданий задержаны более чем на шесть месяцев.
53,"- В 2018 году стало ясно, что такими темпами мы не сможем сдать дом в срок: мы отстали от графика на три с половиной месяца."
60,"Напомним, что этот застройщик умудрился потрепать нервы жителям Тюмени, задержав сдачу дома в жилом комплексе «Москва»."
21,"Никитин привел пример Первомайска, где муниципалитет расторг контракт с компанией, не выполнившей сроки сдачи объекта. Строительство детского сада на 80 мест, на которое в рамках нацпроекта «Демография» из бюджетов всех уровней было выделено более 70 млн рублей, началось почти год назад."
206,Для справки: с 2017 года наблюдаются задержки с вводом в эксплуатацию новых жилых домов.
308,"Однако семья детей-сирот Червовых хочет узнать, кто будет нести ответственность за срыв сроков сдачи в эксплуатацию жилого дома в поселке Звездный Кемеровской области."
65,"Как пояснил акционерам представитель застройщика, задержка строительства связана со смертью основного учредителя и действующего на тот момент генерального директора А.В. Маркова."
100,"Член инициативной группы Александр Назаров сразу напомнил собравшимся, что строительство жилого комплекса остановилось в марте 2016 года – и с тех пор утекло немало воды."
114,"Акционеры объектов компании, совет директоров которой возглавляет Андрей Рябинский, известный также как глава крупнейшей в РФ рекламной компании «Мир бокса», уже больше года жалуются на постоянные задержки сроков строительства."
224,В Нижегородской области снова сорваны сроки сдачи в эксплуатацию крупной школы.
146,Информация о переносе сроков ввода в эксплуатацию касается исключительно реконструкции части аэродромной инфраструктуры.
134,"Проблема нарушения сроков ввода в эксплуатацию домов в долевом строительстве, несмотря на ответственность застройщика, носит общемировой характер."
212,"Сегодня в Сочи на медиафоруме независимых региональных и местных СМИ «Правда и справедливость», организованном Общероссийским народным фронтом, корреспондент Пензенской телерадиокомпании сообщил о 7-месячной задержке подрядной организацией из Санкт-Петербурга ввода в эксплуатацию лифтов, замененных по программе капитального ремонта в доме № 30 «а» по улице Карпинского в городе Пензе."
41,"Таким образом, задержка строительства составит более двух лет."
173,Глава региона поручил Сергею Семкову лично ежедневно контролировать ход работ и разъяснять родителям школьников причину задержки сдачи здания.
191,Ввод в эксплуатацию самого современного и дорогого истребителя США F-35 отложен до 2019 года из-за технической проблемы.
22,"«Сбор объективной информации и детальный анализ хода реализации национальных проектов в муниципальных образованиях региона важен для оказания содействия в решении проблемных вопросов в случае нарушения сроков сдачи объекта или некачественного выполнения работ», — заявил депутат Государственной Думы Иван Квитка по итогам рабочей поездки."
185,"В Новокузнецке сегодня должны были сдать в эксплуатацию новое здание местной школы, однако это не удалось из-за долгов администрации области перед строителями."
227,"Ввод в эксплуатацию 21-этажного жилого дома с подземным паркингом запланирован на четвертый квартал 2019 года, а (четвертую очередь) — на год позже."
290,В Нижнем Новгороде остановлена ​​21 стройка
104,Строительство жилого комплекса «У Парка» в Самаре остановлено из-за конфликта застройщика и генподрядчика.
54,"«На данный момент задержка ввода в эксплуатацию зданий 2-й очереди Новограда Павлино составляет не менее 6 месяцев, и визуально видно, что работы по некоторым зданиям практически остановлены», — констатирует Роман."
188,Застройщики двух многоквартирных домов не уведомили участников долевого строительства о задержке ввода домов в эксплуатацию.
161,"Напомним, представители компании «Квартстрой-НН» принесли акционерам извинения за нарушение сроков сдачи объектов, объяснив задержку сложной экономической ситуацией в стране."
4,Срок завершения проекта переносился несколько раз.
69,"Строительство третьей взлетно-посадочной полосы стоимостью 35,5 млрд рублей планировалось завершить к чемпионату мира по футболу FIFA 2018, но затем срок был перенесен на 2019 год."
82,До сих пор ни одно из зданий официально не сдано в эксплуатацию.
323,"Задержки в реализации проектов по улучшению могут привести к сокращению бюджета для тех, кто опаздывает."
92,Новый запрос датского регулятора может привести к задержке реализации «Северного потока-2».
177,Coca-Cola откладывает запуск завода безалкогольных напитков в Ростовской области.
43,"Счетная палата по результатам проверки Центральной кольцевой автомобильной дороги (ЦКАД) выявила причины, приведшие к задержке ее строительства."
7,"$CUT$ Поднять этот вопрос на оперативном совещании в правительстве региона губернатора заставил пример Первомайского района области, где Глеб Никитин побывал с рабочей поездкой: муниципалитет Первомайска расторг контракт с компанией, которая срывала сроки строительства детского сада."
32,"Поступило три жалобы на отсутствие автоматической мойки колес на строительной площадке, восемь жалоб на высокий уровень шума при проведении строительных работ, три жалобы на задержку сдачи объекта, 10 жалоб на долевое строительство, шесть жалоб на срыв сроков строительства и четыре жалобы на отсутствие информационного табло на строительной площадке."
93,«Стройград»: грандиозная ульяновская стройка (с дольщиками) в районе «Пушкаревского кольца» отстает от графика на два года.
152,"«К сожалению, строители пока затягивают сдачу здания школы в эксплуатацию."
322,"Подрядчик, проложив инженерную инфраструктуру, не ввел ее в эксплуатацию."
200,"По данным исследования, самые длительные задержки поставок были у компании «Приморстрой»."
213,"Директор по развитию группы добавил, что задержка строительства произошла по двум причинам: «В начале 2018 года темпы строительства замедлились в связи с общим спадом на рынке, что привело к небольшой задержке ввода объектов в эксплуатацию, а осенью того же года в соответствии с изменениями, внесенными в 214-ФЗ, была прекращена регистрация новых договоров долевого участия в строящихся зданиях, что привело к дефициту финансирования»."
47,"ООО «Инвестиции в будущее» строит дом с отсрочкой на 9 месяцев по адресу: Северный Власихинский проезд, д. 112."
44,"Таким образом, общая задержка составит почти три года: строительство началось в 2011 году, а первые покупатели квартир в новом здании должны были получить ключи ко второму кварталу 2013 года."
109,"Дольщики двух трехэтажных домов, строящихся московской компанией ООО «СТК Стратегия» в поселке Боголюбово Владимирской области, жалуются на затягивание сроков строительства."
83,Серьёзная задержка строительства зафиксирована в новостройке «Балтийская волна» у строительной компании «РАНТ».
216,В Новосибирске покупатель двухкомнатной квартиры в ЖК «Астра» выиграл штраф за несоблюдение срока сдачи дома.
26,"Кроме того, в Едином реестре проблемных объектов, созданном 1 июля 2019 года на базе Единой информационной системы жилищно-коммунального хозяйства, ежедневно обновляется перечень объектов, ввод в эксплуатацию которых задержан на 6 месяцев и более либо в отношении застройщика возбуждено дело о банкротстве или иная процедура."
99,"Задержка в сдаче домов произошла из-за того, что нас не обошли стороной экономические трудности в стране: в определенный момент финансирование и банковское кредитование были приостановлены."
311,"Глава региона сделал заявление после публикации в петербургских СМИ информации о том, что строительство станции метро «Кудрово» может быть отложено на неопределенный срок."
236,"«Прошлым летом строительство практически остановилось», — пишут авторы обращения."
145,Один из самых «тревожных» проектов прошлого года — жилой комплекс «Звезда» от Alice Construction Corporation — снова откладывается.
120,"Затем введение было перенесено на первую половину 2014 года, затем на вторую половину 2015 года."
139,Открытие Центральной кольцевой автодороги отложено до 2022 года.
208,Ремонт моста через реку Каменку в районе улицы Заповедной в Санкт-Петербурге задерживается на год
162,"Напомним, что данный дом должен был быть сдан в конце 2018 года, однако практически готовое здание до сих пор не может быть введено в эксплуатацию."
242,"Директор по внешним связям Coca-Cola HBC Eurasia LLC Яна Гуськова уверена, что перенос сроков ввода в эксплуатацию не означает, что компания пересматривает планы по строительству второй очереди завода, запуск которой запланирован на 2010-2015 годы."
296,"Реконструкция аэропорта Зея в Амурской области, которую планировалось завершить в конце прошлого года, из-за недостатков проекта выполнена лишь на 67%, сообщает в среду агентство «Интерфакс» со ссылкой на пресс-службу правительства региона."
293,"«Несмотря на перенос сроков запуска Тайшетского алюминиевого завода из-за ситуации на мировых рынках, в 2012 году на строительной площадке продолжались работы по ранее заключенным договорам на приемку технологического оборудования, большая часть которого уже поставлена», — говорится в сообщении."
149,"Задержки в сдаче данных объектов составляют более 1,5 месяцев."
220,"Однако его банкротство повлекло невозможность исполнения обязательств перед участниками строительства в сроки, установленные договорами долевого участия (май 2018 г.), и срок передачи объектов долевого строительства впервые был перенесен на ноябрь 2018 г., определен новый подрядчик — ООО «Сибресурс», говорится на сайте Инспекции по строительному и жилищному надзору Алтайского края (Госинспекция)."
91,"«Задержка сроков строительства жилого комплекса «Любимов» не повлияет на качество», — Максим Решетников Текущая задержка сроков строительства двух корпусов первой очереди жилого комплекса «Любимов» в Березниках не повлияет на качество работ, заявил губернатор Пермского края Максим Решетников."
297,"Они заключили договор с компанией «АртСтройТехно» на строительство там домов, однако с 2003 года обманутые «спасовцы» до сих пор не могут получить свое жилье."
289,"В последний раз они говорили, что ключи будут выданы в субботу, 23 марта, но ничего не произошло."
